REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (H1),A (Unable to Subtype),A (H3),2009 H1N1,A (Subtyping not Performed),B,H3N2v
National,X,1997,40,1291,0,0,0,0,0,0,0,0
National,X,1997,41,1513,0.727032385988103,0,0,0,0,11,0,0
National,X,1997,42,1552,1.09536082474227,0,0,3,0,13,1,0
National,X,1997,43,1669,0.419412822049131,0,0,0,0,7,0,0
National,X,1997,44,1897,0.527148128624143,0,0,9,0,1,0,0
National,X,1997,45,2106,0.284900284900285,0,0,0,0,6,0,0
National,X,1997,46,2204,0.362976406533575,0,0,3,0,4,1,0
National,X,1997,47,2533,0.908014212396368,0,0,5,0,17,1,0
National,X,1997,48,2242,1.65031222123104,0,0,14,0,22,1,0
National,X,1997,49,2607,1.5343306482547,0,0,11,0,28,1,0
National,X,1997,50,3086,3.17563188593649,0,0,37,0,59,2,0
National,X,1997,51,3410,7.12609970674487,0,0,84,0,159,0,0
National,X,1997,52,3349,12.6007763511496,0,0,111,0,311,0,0
National,X,1997,53,4402,17.9463880054521,1,0,161,0,627,1,0
National,X,1998,1,5294,19.304873441632,0,0,211,0,808,3,0
National,X,1998,2,5501,20.9234684602799,3,0,281,0,863,4,0
National,X,1998,3,6196,25.6132989025178,1,0,453,0,1132,1,0
National,X,1998,4,6730,28.0683506686478,0,0,589,0,1299,1,0
National,X,1998,5,6288,26.7175572519084,0,0,413,0,1266,1,0
National,X,1998,6,5867,24.3736151355037,1,0,363,0,1061,5,0
National,X,1998,7,4904,20.126427406199,0,0,226,0,757,4,0
National,X,1998,8,3975,14.2389937106918,0,0,93,0,469,4,0
National,X,1998,9,3169,9.68759861154938,0,0,63,0,241,3,0
National,X,1998,10,2658,7.59969902182092,0,0,47,0,149,6,0
National,X,1998,11,2234,5.41629364368845,0,0,30,0,86,5,0
National,X,1998,12,2048,4.1015625,0,0,12,0,66,6,0
National,X,1998,13,1683,2.79263220439691,0,0,11,0,29,7,0
National,X,1998,14,1532,2.21932114882507,0,0,6,0,22,6,0
National,X,1998,15,1357,2.87398673544584,0,0,0,0,27,12,0
National,X,1998,16,1421,1.47783251231527,0,0,1,0,16,4,0
National,X,1998,17,1236,1.29449838187702,0,0,1,0,9,6,0
National,X,1998,18,1142,1.40105078809107,0,0,3,0,8,5,0
National,X,1998,19,1038,0.867052023121387,0,0,0,0,5,4,0
National,X,1998,20,938,0.959488272921109,0,0,0,0,2,7,0
National,X,1998,21,,,X,X,X,X,X,X,X
National,X,1998,22,,,X,X,X,X,X,X,X
National,X,1998,23,,,X,X,X,X,X,X,X
National,X,1998,24,,,X,X,X,X,X,X,X
National,X,1998,25,,,X,X,X,X,X,X,X
National,X,1998,26,,,X,X,X,X,X,X,X
National,X,1998,27,,,X,X,X,X,X,X,X
National,X,1998,28,,,X,X,X,X,X,X,X
National,X,1998,29,,,X,X,X,X,X,X,X
National,X,1998,30,,,X,X,X,X,X,X,X
National,X,1998,31,,,X,X,X,X,X,X,X
National,X,1998,32,,,X,X,X,X,X,X,X
National,X,1998,33,,,X,X,X,X,X,X,X
National,X,1998,34,,,X,X,X,X,X,X,X
National,X,1998,35,,,X,X,X,X,X,X,X
National,X,1998,36,,,X,X,X,X,X,X,X
National,X,1998,37,,,X,X,X,X,X,X,X
National,X,1998,38,,,X,X,X,X,X,X,X
National,X,1998,39,,,X,X,X,X,X,X,X
National,X,1998,40,1407,0.142146410803127,0,0,2,0,0,0,0
National,X,1998,41,1453,0.344115622849277,0,0,4,0,1,0,0
National,X,1998,42,1654,0.181378476420798,1,0,0,0,2,0,0
National,X,1998,43,1814,0.330760749724366,0,0,1,0,0,5,0
National,X,1998,44,2051,0.877620672842516,0,0,12,0,6,0,0
National,X,1998,45,2222,0.63006300630063,0,0,5,0,5,4,0
National,X,1998,46,2051,0.390053632374452,0,0,4,0,0,4,0
National,X,1998,47,1809,0.939745715865119,0,0,5,0,4,8,0
National,X,1998,48,2397,1.16812682519816,0,0,11,0,6,11,0
National,X,1998,49,2432,1.85032894736842,0,0,9,0,15,21,0
National,X,1998,50,2428,1.72981878088962,1,0,12,0,15,14,0
National,X,1998,51,2207,3.76076121431808,0,0,21,0,35,27,0
National,X,1998,52,2706,5.91278640059128,1,0,47,0,81,31,0
National,X,1999,1,3524,9.39273552780931,0,0,72,0,183,76,0
National,X,1999,2,3889,14.7595782977629,1,0,151,0,311,111,0
National,X,1999,3,4262,20.2956358517128,1,0,193,0,518,153,0
National,X,1999,4,5210,22.0729366602687,1,0,222,0,658,269,0
National,X,1999,5,6143,27.3156438222367,1,0,351,0,926,400,0
National,X,1999,6,6574,28.2932765439611,2,0,317,0,1134,407,0
National,X,1999,7,6723,25.50944518816,9,0,262,0,1065,379,0
National,X,1999,8,6616,25.226723095526,1,0,250,0,1052,366,0
National,X,1999,9,5933,23.3777178493174,1,0,184,0,868,334,0
National,X,1999,10,4289,20.5875495453486,2,0,137,0,528,216,0
National,X,1999,11,4014,15.6203288490284,5,0,100,0,346,176,0
National,X,1999,12,3242,14.3121529919803,1,0,78,0,264,121,0
National,X,1999,13,2712,8.25958702064897,0,0,42,0,121,61,0
National,X,1999,14,2222,7.92079207920792,1,0,27,0,110,38,0
National,X,1999,15,1721,6.44973852411389,1,0,15,0,75,20,0
National,X,1999,16,1368,2.63157894736842,0,0,11,0,17,8,0
National,X,1999,17,1108,2.52707581227437,0,0,5,0,20,3,0
National,X,1999,18,982,1.73116089613035,0,0,3,0,10,4,0
National,X,1999,19,801,1.12359550561798,0,0,0,0,5,4,0
National,X,1999,20,618,1.13268608414239,0,0,0,0,6,1,0
National,X,1999,21,,,X,X,X,X,X,X,X
National,X,1999,22,,,X,X,X,X,X,X,X
National,X,1999,23,,,X,X,X,X,X,X,X
National,X,1999,24,,,X,X,X,X,X,X,X
National,X,1999,25,,,X,X,X,X,X,X,X
National,X,1999,26,,,X,X,X,X,X,X,X
National,X,1999,27,,,X,X,X,X,X,X,X
National,X,1999,28,,,X,X,X,X,X,X,X
National,X,1999,29,,,X,X,X,X,X,X,X
National,X,1999,30,,,X,X,X,X,X,X,X
National,X,1999,31,,,X,X,X,X,X,X,X
National,X,1999,32,,,X,X,X,X,X,X,X
National,X,1999,33,,,X,X,X,X,X,X,X
National,X,1999,34,,,X,X,X,X,X,X,X
National,X,1999,35,,,X,X,X,X,X,X,X
National,X,1999,36,,,X,X,X,X,X,X,X
National,X,1999,37,,,X,X,X,X,X,X,X
National,X,1999,38,,,X,X,X,X,X,X,X
National,X,1999,39,,,X,X,X,X,X,X,X
National,X,1999,40,1687,1.0669828097214,0,0,11,0,7,0,0
National,X,1999,41,1883,1.06213489113117,0,0,10,0,9,1,0
National,X,1999,42,2097,2.2412970910825,0,0,18,0,26,3,0
National,X,1999,43,2162,2.63644773358002,0,0,31,0,26,0,0
