"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
National,X,2015,40,12029,84,43,1.05578,0.698312,0.357469
National,X,2015,41,13111,116,54,1.29662,0.884753,0.411868
National,X,2015,42,13441,97,52,1.10855,0.721672,0.386876
National,X,2015,43,13537,98,52,1.10807,0.723942,0.384132
National,X,2015,44,14687,97,68,1.12344,0.660448,0.462994
National,X,2015,45,15048,122,86,1.38224,0.810739,0.571505
National,X,2015,46,15250,84,98,1.19344,0.55082,0.642623
National,X,2015,47,15234,119,92,1.38506,0.781147,0.603912
National,X,2015,48,16201,145,81,1.39498,0.895006,0.499969
National,X,2015,49,16673,140,106,1.47544,0.839681,0.635758
National,X,2015,50,17358,244,192,2.51181,1.40569,1.10612
National,X,2015,51,16878,220,166,2.287,1.30347,0.983529
National,X,2015,52,18865,264,200,2.45958,1.39942,1.06016
National,X,2016,1,19786,396,184,2.93137,2.00142,0.92995
National,X,2016,2,18689,571,224,4.25384,3.05527,1.19857
National,X,2016,3,18798,716,315,5.48463,3.80892,1.67571
National,X,2016,4,20791,1035,412,6.95974,4.97812,1.98163
National,X,2016,5,22261,1572,587,9.69858,7.06168,2.6369
National,X,2016,6,24934,2265,864,12.5491,9.08398,3.46515
National,X,2016,7,27208,3135,1092,15.5359,11.5223,4.01353
National,X,2016,8,30966,4410,1276,18.3621,14.2414,4.12065
National,X,2016,9,33880,5523,1629,21.1098,16.3017,4.80815
National,X,2016,10,36781,6679,2018,23.6454,18.1588,5.48653
National,X,2016,11,34233,5047,1790,19.972,14.7431,5.22887
National,X,2016,12,30161,3919,1652,18.4709,12.9936,5.47727
National,X,2016,13,27603,2965,1514,16.2265,10.7416,5.48491
National,X,2016,14,23979,1971,1390,14.0164,8.21969,5.79674
National,X,2016,15,21683,1506,1364,13.2362,6.94553,6.29064
National,X,2016,16,19860,1123,1329,12.3464,5.65458,6.69184
National,X,2016,17,17970,701,1143,10.2615,3.90095,6.3606
National,X,2016,18,15380,427,822,8.12094,2.77633,5.3446
National,X,2016,19,14090,280,662,6.68559,1.98722,4.69837
National,X,2016,20,12545,224,505,5.81108,1.78557,4.02551
National,X,2016,21,11591,139,408,4.71918,1.19921,3.51997
National,X,2016,22,10067,82,226,3.0595,0.814543,2.24496
National,X,2016,23,9172,70,207,3.02006,0.763192,2.25687
National,X,2016,24,8364,59,94,1.82927,0.705404,1.12386
National,X,2016,25,7417,44,83,1.71228,0.593232,1.11905
National,X,2016,26,6298,26,51,1.22261,0.412829,0.809781
National,X,2016,27,5978,24,30,0.903312,0.401472,0.50184
National,X,2016,28,6328,24,31,0.869153,0.379267,0.489886
National,X,2016,29,5888,24,26,0.849185,0.407609,0.441576
National,X,2016,30,5756,20,25,0.781793,0.347464,0.434329
National,X,2016,31,5675,33,20,0.933921,0.581498,0.352423
National,X,2016,32,5773,22,30,0.900745,0.381084,0.51966
National,X,2016,33,5974,27,21,0.803482,0.451958,0.351523
National,X,2016,34,6264,63,25,1.40485,1.00575,0.399106
National,X,2016,35,7093,78,41,1.67771,1.09968,0.578035
National,X,2016,36,7732,57,56,1.46146,0.737196,0.724263
National,X,2016,37,8727,74,58,1.51255,0.847943,0.664604
National,X,2016,38,9418,97,67,1.74135,1.02994,0.711404
National,X,2016,39,10596,106,83,1.78369,1.00038,0.783314
National,X,2016,40,13482,121,89,1.55763,0.897493,0.660139
National,X,2016,41,14152,108,83,1.34963,0.763143,0.58649
National,X,2016,42,15200,115,95,1.38158,0.756579,0.625
National,X,2016,43,15411,143,88,1.49893,0.927909,0.571021
National,X,2016,44,16765,203,117,1.90874,1.21086,0.697882
National,X,2016,45,17887,272,121,2.19713,1.52066,0.676469
National,X,2016,46,19047,347,144,2.57783,1.82181,0.756025
National,X,2016,47,18580,450,167,3.32078,2.42196,0.898816
National,X,2016,48,21687,529,184,3.28768,2.43925,0.848435
National,X,2016,49,20659,703,179,4.26933,3.40288,0.86645
National,X,2016,50,23584,1371,210,6.7037,5.81326,0.890434
National,X,2016,51,26905,2566,340,10.801,9.53726,1.26371
National,X,2016,52,33064,4260,388,14.0576,12.8841,1.17348
National,X,2017,1,35213,4321,382,13.3559,12.271,1.08483
National,X,2017,2,34652,4842,465,15.3151,13.9732,1.34191
National,X,2017,3,36096,5908,648,18.1627,16.3675,1.79521
National,X,2017,4,38241,6277,793,18.488,16.4143,2.07369
National,X,2017,5,40759,7632,1086,21.3891,18.7247,2.66444
National,X,2017,6,47295,9516,1853,24.0385,20.1205,3.91796
National,X,2017,7,49222,9486,2529,24.4098,19.2719,5.13795
National,X,2017,8,47180,8675,2916,24.5676,18.387,6.18058
National,X,2017,9,40234,5536,2341,19.578,13.7595,5.81846
National,X,2017,10,37766,4563,2745,19.3507,12.0823,7.26844
National,X,2017,11,35866,3761,3107,19.1491,10.4863,8.6628
National,X,2017,12,34103,3190,3632,20.0041,9.35402,10.6501
National,X,2017,13,31837,2317,3578,18.5162,7.2777,11.2385
National,X,2017,14,28560,1429,2933,15.2731,5.0035,10.2696
National,X,2017,15,24897,898,2239,12.5999,3.60686,8.99305
National,X,2017,16,22027,564,1558,9.63363,2.56049,7.07314
National,X,2017,17,18282,323,921,6.80451,1.76677,5.03774
National,X,2017,18,15720,251,692,5.99873,1.59669,4.40204
National,X,2017,19,14844,231,583,5.4837,1.55618,3.92751
National,X,2017,20,13464,214,461,5.01337,1.58942,3.42395
National,X,2017,21,12451,181,375,4.4655,1.4537,3.01181
National,X,2017,22,11204,171,311,4.30203,1.52624,2.77579
National,X,2017,23,10283,137,228,3.54955,1.3323,2.21725
