PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
National,X,1998,19,186,32200,131,0.443013613440555,0.577639751552795,79,61,37,X,X,9
National,X,1998,20,165,27263,120,0.638986477179251,0.605215860323515,54,52,40,X,X,19
National,X,1998,21,,,,,,X,X,X,X,X,X
National,X,1998,22,,,,,,X,X,X,X,X,X
National,X,1998,23,,,,,,X,X,X,X,X,X
National,X,1998,24,,,,,,X,X,X,X,X,X
National,X,1998,25,,,,,,X,X,X,X,X,X
National,X,1998,26,,,,,,X,X,X,X,X,X
National,X,1998,27,,,,,,X,X,X,X,X,X
National,X,1998,28,,,,,,X,X,X,X,X,X
National,X,1998,29,,,,,,X,X,X,X,X,X
National,X,1998,30,,,,,,X,X,X,X,X,X
National,X,1998,31,,,,,,X,X,X,X,X,X
National,X,1998,32,,,,,,X,X,X,X,X,X
National,X,1998,33,,,,,,X,X,X,X,X,X
National,X,1998,34,,,,,,X,X,X,X,X,X
National,X,1998,35,,,,,,X,X,X,X,X,X
National,X,1998,36,,,,,,X,X,X,X,X,X
National,X,1998,37,,,,,,X,X,X,X,X,X
National,X,1998,38,,,,,,X,X,X,X,X,X
National,X,1998,39,,,,,,X,X,X,X,X,X
National,X,1998,40,490,70272,304,1.57732655383659,0.697290528233151,115,210,139,X,X,26
National,X,1998,41,605,77092,328,1.30879769279977,0.784776630519379,133,262,174,X,X,36
National,X,1998,42,783,86720,350,1.41744166079288,0.902905904059041,217,287,225,X,X,54
National,X,1998,43,1086,95437,377,1.18271629800184,1.13792344688119,278,530,226,X,X,52
National,X,1998,44,1034,101821,388,2.33431933494584,1.01550760648589,298,414,262,X,X,60
National,X,1998,45,1022,102108,400,1.81576814167884,1.00090100677714,258,402,292,X,X,70
National,X,1998,46,1178,103429,372,2.17974839651846,1.13894555685543,355,478,281,X,X,64
National,X,1998,47,1208,83346,403,2.11240130460686,1.44937969428647,291,512,322,X,X,83
National,X,1998,48,1176,103241,392,2.04853598463967,1.13908234131789,319,453,310,X,X,94
National,X,1998,49,1202,103600,399,1.93248285224564,1.16023166023166,353,461,303,X,X,85
National,X,1998,50,1141,97416,396,1.90468269301989,1.17126550053379,312,426,320,X,X,83
National,X,1998,51,1064,71380,384,2.55982795905948,1.49061361725974,335,359,296,X,X,74
National,X,1998,52,1423,77216,382,3.99107829749648,1.84288230418566,418,377,466,X,X,162
National,X,1999,1,1780,97593,396,3.08581471319857,1.82390130439683,439,548,659,X,X,134
National,X,1999,2,2407,94632,396,4.16382885315591,2.54353706991293,431,874,962,X,X,140
National,X,1999,3,3864,106864,399,5.58049063908214,3.61581075011229,801,1689,1168,X,X,206
National,X,1999,4,4545,111421,397,5.25328068516793,4.07912332504645,755,2185,1419,X,X,186
National,X,1999,5,5670,111667,397,6.74667105418412,5.07759678329318,970,2919,1562,X,X,219
National,X,1999,6,5768,114244,379,7.57188328085408,5.04884282763209,1029,2911,1591,X,X,237
National,X,1999,7,4920,104830,376,6.8728695796498,4.69331298292474,822,2275,1599,X,X,224
National,X,1999,8,4486,105946,352,6.35097567530671,4.23423253355483,800,1932,1520,X,X,234
National,X,1999,9,3910,97176,359,5.41098954716867,4.02362723306166,769,1543,1357,X,X,241
National,X,1999,10,2922,97612,351,4.55008062123356,2.9934844076548,539,1140,1041,X,X,202
National,X,1999,11,2070,87063,339,3.85915194011066,2.37758864270701,458,778,704,X,X,130
National,X,1999,12,1696,84079,321,2.99600969958544,2.01715053699497,378,641,548,X,X,129
National,X,1999,13,1091,79237,313,1.97814042371314,1.37688201219127,243,397,382,X,X,69
National,X,1999,14,632,71588,277,1.16887251140846,0.882829524501313,127,265,202,X,X,38
National,X,1999,15,396,64515,268,1.09301610414054,0.61381074168798,102,175,102,X,X,17
National,X,1999,16,271,64253,258,0.633168672255144,0.421770189718768,59,133,66,X,X,13
National,X,1999,17,399,64824,255,0.639560906125773,0.61551277304702,111,150,118,X,X,20
National,X,1999,18,180,59546,237,1.55530896045871,0.302287307291842,35,84,50,X,X,11
National,X,1999,19,292,55872,227,0.808019590190249,0.52262313860252,102,86,88,X,X,16
National,X,1999,20,283,53444,222,1.33997211663046,0.529526233066387,100,100,68,X,X,15
National,X,1999,21,,,,,,X,X,X,X,X,X
National,X,1999,22,,,,,,X,X,X,X,X,X
National,X,1999,23,,,,,,X,X,X,X,X,X
National,X,1999,24,,,,,,X,X,X,X,X,X
National,X,1999,25,,,,,,X,X,X,X,X,X
National,X,1999,26,,,,,,X,X,X,X,X,X
National,X,1999,27,,,,,,X,X,X,X,X,X
National,X,1999,28,,,,,,X,X,X,X,X,X
National,X,1999,29,,,,,,X,X,X,X,X,X
National,X,1999,30,,,,,,X,X,X,X,X,X
National,X,1999,31,,,,,,X,X,X,X,X,X
National,X,1999,32,,,,,,X,X,X,X,X,X
National,X,1999,33,,,,,,X,X,X,X,X,X
National,X,1999,34,,,,,,X,X,X,X,X,X
National,X,1999,35,,,,,,X,X,X,X,X,X
National,X,1999,36,,,,,,X,X,X,X,X,X
National,X,1999,37,,,,,,X,X,X,X,X,X
National,X,1999,38,,,,,,X,X,X,X,X,X
National,X,1999,39,,,,,,X,X,X,X,X,X
National,X,1999,40,791,80941,316,0.831218930504669,0.977255037619995,264,273,228,X,X,26
National,X,1999,41,997,93434,361,1.40444812010986,1.06706338163838,292,351,297,X,X,57
National,X,1999,42,1067,113187,386,1.31720562338446,0.942687764495923,346,371,293,X,X,57
National,X,1999,43,1089,107163,355,1.3816083655742,1.01620895271689,371,367,289,X,X,62
National,X,1999,44,1570,131448,449,1.41606594899708,1.19438865559004,438,607,434,X,X,91
National,X,1999,45,1570,126461,456,1.48437739974482,1.24148947106222,473,535,461,X,X,101
National,X,1999,46,1701,132304,459,1.52614127509118,1.28567541419761,443,622,544,X,X,92
National,X,1999,47,1833,108377,455,1.85336049302162,1.69131826863633,483,504,714,X,X,132
National,X,1999,48,2484,142980,469,2.32906925197585,1.73730591691146,518,835,994,X,X,137
National,X,1999,49,3264,139657,480,2.70254083118029,2.33715460019906,643,1124,1316,X,X,181
National,X,1999,50,4208,143607,475,3.50454049713086,2.93021927900451,828,1405,1676,X,X,299
National,X,1999,51,5168,116927,472,5.40798903845369,4.4198517023442,1130,1399,2189,X,X,450
National,X,1999,52,6846,121233,471,7.04228382700404,5.64697730815867,1339,1697,3146,X,X,664
National,X,2000,1,7272,141197,482,6.76845599908143,5.15025106765725,1314,2043,3250,X,X,665
National,X,2000,2,5470,140143,467,5.52807665009061,3.90315606202236,1011,1746,2251,X,X,462
National,X,2000,3,3857,132462,450,3.80508489593453,2.91177847231659,851,1334,1357,X,X,315
National,X,2000,4,2901,134511,433,3.41176959786322,2.15670093895667,722,1048,962,X,X,169
National,X,2000,5,2478,136683,441,2.40000160503738,1.81295406158776,633,914,786,X,X,145
National,X,2000,6,2223,137511,437,1.89119956140188,1.61659794489168,599,862,646,X,X,116
National,X,2000,7,1668,131648,413,1.35503091177516,1.26701507049101,539,610,447,X,X,72
National,X,2000,8,1325,116119,382,1.33212127238297,1.14107079806061,452,481,328,X,X,64
National,X,2000,9,1385,112138,370,1.49127439719471,1.23508534127593,499,477,360,X,X,49
National,X,2000,10,1088,106737,363,1.26826077040575,1.01932788067868,381,394,256,X,X,57
National,X,2000,11,934,100814,338,1.05853807655725,0.926458626778027,342,342,206,X,X,44
National,X,2000,12,917,100658,326,0.92201001170156,0.911005583262135,305,346,229,X,X,37
National,X,2000,13,837,101612,320,0.892333809065108,0.823721607684132,282,320,206,X,X,29
National,X,2000,14,666,91806,295,0.929201072140371,0.725442781517548,186,286,171,X,X,23
National,X,2000,15,522,90035,289,0.655591797603998,0.579774532126395,178,196,127,X,X,21
National,X,2000,16,347,76910,280,0.607002118901699,0.451176700039007,107,120,96,X,X,24
National,X,2000,17,347,79100,274,0.600003391464843,0.438685208596713,112,141,80,X,X,14
National,X,2000,18,324,73550,257,0.547246860306614,0.440516655336506,93,147,77,X,X,7
National,X,2000,19,239,67962,248,0.476416622747588,0.351667108089815,67,85,77,X,X,10
National,X,2000,20,219,59761,233,0.445917278790444,0.366459731262864,79,65,64,X,X,11
National,X,2000,21,,,,,,X,X,X,X,X,X
National,X,2000,22,,,,,,X,X,X,X,X,X
National,X,2000,23,,,,,,X,X,X,X,X,X
National,X,2000,24,,,,,,X,X,X,X,X,X
National,X,2000,25,,,,,,X,X,X,X,X,X
National,X,2000,26,,,,,,X,X,X,X,X,X
National,X,2000,27,,,,,,X,X,X,X,X,X
National,X,2000,28,,,,,,X,X,X,X,X,X
National,X,2000,29,,,,,,X,X,X,X,X,X
National,X,2000,30,,,,,,X,X,X,X,X,X
National,X,2000,31,,,,,,X,X,X,X,X,X
National,X,2000,32,,,,,,X,X,X,X,X,X
National,X,2000,33,,,,,,X,X,X,X,X,X
National,X,2000,34,,,,,,X,X,X,X,X,X
National,X,2000,35,,,,,,X,X,X,X,X,X
National,X,2000,36,,,,,,X,X,X,X,X,X
National,X,2000,37,,,,,,X,X,X,X,X,X
National,X,2000,38,,,,,,X,X,X,X,X,X
National,X,2000,39,,,,,,X,X,X,X,X,X
National,X,2000,40,1041,84727,337,1.04113363964699,1.22865202355802,206,443,322,X,X,70
National,X,2000,41,1234,116917,451,1.28709844063051,1.05544959244592,270,489,389,X,X,86
National,X,2000,42,1561,134587,487,1.2829874797529,1.1598445615104,390,617,458,X,X,96
National,X,2000,43,1781,145165,507,1.34080729312858,1.22687975751731,411,683,564,X,X,123
National,X,2000,44,1870,150676,526,1.05549660151059,1.24107356181475,465,703,564,X,X,138
National,X,2000,45,2229,155700,545,1.14135870579713,1.43159922928709,564,849,635,X,X,181
National,X,2000,46,2449,163893,571,1.4411050386428,1.49426760142288,572,979,736,X,X,162
National,X,2000,47,2417,131168,569,1.957345835489,1.84267504269334,704,913,646,X,X,154
National,X,2000,48,2854,178641,581,1.61927860545584,1.59761756819543,673,1085,900,X,X,196
National,X,2000,49,3097,178529,595,1.78440202396139,1.73473217236415,710,1232,916,X,X,239
National,X,2000,50,3394,165935,600,2.34423392245857,2.04537921475276,677,1455,1077,X,X,185
National,X,2000,51,3361,139431,585,2.69527600020011,2.4105112923238,767,1337,1052,X,X,205
National,X,2000,52,4152,122719,587,3.8618030703377,3.38333917323316,1059,1335,1496,X,X,262
National,X,2001,1,4796,148538,591,3.50499785483142,3.22880340384279,1049,1571,1855,X,X,321
National,X,2001,2,5544,177720,611,3.43803554526019,3.11951384199865,1081,2423,1722,X,X,318
National,X,2001,3,6717,176566,617,4.39279926783602,3.80424317252472,1395,3223,1806,X,X,293
National,X,2001,4,7908,188879,626,4.21338702999335,4.18680742697706,1542,4057,1991,X,X,318
National,X,2001,5,7287,182792,578,4.35363988213845,3.98649831502473,1329,3705,1958,X,X,295
National,X,2001,6,6476,179586,566,3.69969326753213,3.60607174278619,1370,3017,1731,X,X,358
National,X,2001,7,4832,171948,566,2.81921249161801,2.8101519063903,1059,2126,1393,X,X,254
National,X,2001,8,3923,162402,540,2.55294130051248,2.4156106451891,834,1566,1278,X,X,245
National,X,2001,9,2606,150399,511,1.90166591811706,1.73272428673063,683,1008,752,X,X,163
National,X,2001,10,2562,155916,510,1.68032660334871,1.64319248826291,622,934,854,X,X,152
National,X,2001,11,1943,143075,472,1.62539726626144,1.35802900576621,524,762,522,X,X,135
National,X,2001,12,1879,135154,460,1.45956702845543,1.39026591887772,485,751,507,X,X,136
National,X,2001,13,1590,129934,442,1.32375912761136,1.2236981852325,465,575,419,X,X,131
National,X,2001,14,1256,112235,371,0.920073256501014,1.11908050073506,288,421,421,X,X,126
National,X,2001,15,950,101175,349,0.779256523069471,0.938967136150235,219,344,305,X,X,82
National,X,2001,16,997,105580,342,0.991302636885774,0.944307634021595,234,331,344,X,X,88
National,X,2001,17,771,103824,334,0.826930031204744,0.742602866389274,198,274,253,X,X,46
National,X,2001,18,734,99802,322,0.588951894009596,0.735456203282499,173,265,225,X,X,71
National,X,2001,19,671,92532,293,0.605586208138244,0.725154541131717,165,250,196,X,X,60
National,X,2001,20,470,70113,262,0.494339755406658,0.670346440745653,94,179,159,X,X,38
National,X,2001,21,,,,,,X,X,X,X,X,X
National,X,2001,22,,,,,,X,X,X,X,X,X
National,X,2001,23,,,,,,X,X,X,X,X,X
National,X,2001,24,,,,,,X,X,X,X,X,X
National,X,2001,25,,,,,,X,X,X,X,X,X
National,X,2001,26,,,,,,X,X,X,X,X,X
National,X,2001,27,,,,,,X,X,X,X,X,X
National,X,2001,28,,,,,,X,X,X,X,X,X
National,X,2001,29,,,,,,X,X,X,X,X,X
National,X,2001,30,,,,,,X,X,X,X,X,X
National,X,2001,31,,,,,,X,X,X,X,X,X
National,X,2001,32,,,,,,X,X,X,X,X,X
National,X,2001,33,,,,,,X,X,X,X,X,X
National,X,2001,34,,,,,,X,X,X,X,X,X
National,X,2001,35,,,,,,X,X,X,X,X,X
National,X,2001,36,,,,,,X,X,X,X,X,X
National,X,2001,37,,,,,,X,X,X,X,X,X
National,X,2001,38,,,,,,X,X,X,X,X,X
National,X,2001,39,,,,,,X,X,X,X,X,X
National,X,2001,40,1368,137156,607,1.41045679588185,0.99740441541019,429,485,372,X,X,82
National,X,2001,41,1747,159264,646,1.77019290899842,1.09692083584489,479,628,526,X,X,114
National,X,2001,42,1932,165425,690,1.61903812641369,1.16790086141756,562,697,560,X,X,113
National,X,2001,43,2204,174566,710,1.77064689785842,1.26255971953301,567,876,643,X,X,118
National,X,2001,44,2371,182365,746,1.93890691372956,1.30013982946289,655,883,665,X,X,168
National,X,2001,45,2327,190992,758,1.63439405991704,1.21837563877021,626,865,687,X,X,149
National,X,2001,46,2508,187174,770,1.90363138170806,1.33992969108957,693,862,811,X,X,142
National,X,2001,47,2090,141523,764,1.80556135202641,1.47679175823011,602,643,698,X,X,147
National,X,2001,48,2566,181932,728,1.75505696330995,1.4104170789086,638,866,877,X,X,185
National,X,2001,49,2275,180095,762,1.53023179092069,1.26322218828951,602,848,676,X,X,149
National,X,2001,50,2169,170971,756,1.46160825635238,1.26863620146107,666,780,570,X,X,153
National,X,2001,51,2278,148450,696,1.96048274194864,1.53452340855507,707,725,684,X,X,162
National,X,2001,52,2265,106451,691,2.20435469237044,2.12773952334877,719,656,718,X,X,172
National,X,2002,1,2568,132274,728,2.1347989589969,1.94142461859474,785,752,808,X,X,223
National,X,2002,2,2875,171747,742,1.89441106110338,1.67397392676437,837,969,869,X,X,200
National,X,2002,3,3743,180969,749,2.8310876240525,2.0683100420514,1067,1533,948,X,X,195
National,X,2002,4,4797,166968,728,3.30481032165846,2.8730056058646,1460,2004,1156,X,X,177
National,X,2002,5,5557,188431,729,3.61062761294376,2.94909011786808,1556,2351,1415,X,X,235
National,X,2002,6,5624,192039,728,3.42799040922213,2.92857180051969,1542,2330,1478,X,X,274
National,X,2002,7,5924,187242,712,3.7671509028565,3.16382008310101,1557,2436,1573,X,X,358
National,X,2002,8,5760,184544,708,3.60018070562466,3.12120686665511,1509,2359,1544,X,X,348
National,X,2002,9,5104,186608,707,3.20024162698388,2.73514533138987,1208,1997,1529,X,X,370
National,X,2002,10,3631,168647,674,2.92632694450554,2.15301784200134,848,1558,1007,X,X,218
National,X,2002,11,2977,154942,652,2.8585713368964,1.92136412334938,731,1252,832,X,X,162
National,X,2002,12,2417,148527,617,2.34744750116675,1.62731355241808,567,1092,607,X,X,151
National,X,2002,13,2079,142223,582,2.23498077297822,1.46178888084206,547,913,488,X,X,131
National,X,2002,14,1655,138645,575,1.99354910745034,1.19369613040499,397,692,449,X,X,117
National,X,2002,15,1169,130554,551,1.37167546820205,0.895414924092713,327,467,292,X,X,83
National,X,2002,16,1018,124465,523,1.2703282653525,0.817900614630619,247,442,262,X,X,67
National,X,2002,17,830,117581,504,0.999330535411108,0.705896360806593,235,389,155,X,X,51
National,X,2002,18,672,109945,475,1.17199672167181,0.61121469825822,209,269,147,X,X,47
National,X,2002,19,673,106720,458,1.0347212238185,0.630622188905547,169,302,156,X,X,46
National,X,2002,20,576,100422,449,0.703599154244829,0.57357949453307,159,236,142,X,X,39
National,X,2002,21,,,,,,X,X,X,X,X,X
National,X,2002,22,,,,,,X,X,X,X,X,X
National,X,2002,23,,,,,,X,X,X,X,X,X
National,X,2002,24,,,,,,X,X,X,X,X,X
National,X,2002,25,,,,,,X,X,X,X,X,X
National,X,2002,26,,,,,,X,X,X,X,X,X
National,X,2002,27,,,,,,X,X,X,X,X,X
National,X,2002,28,,,,,,X,X,X,X,X,X
National,X,2002,29,,,,,,X,X,X,X,X,X
National,X,2002,30,,,,,,X,X,X,X,X,X
National,X,2002,31,,,,,,X,X,X,X,X,X
National,X,2002,32,,,,,,X,X,X,X,X,X
National,X,2002,33,,,,,,X,X,X,X,X,X
National,X,2002,34,,,,,,X,X,X,X,X,X
National,X,2002,35,,,,,,X,X,X,X,X,X
National,X,2002,36,,,,,,X,X,X,X,X,X
National,X,2002,37,,,,,,X,X,X,X,X,X
National,X,2002,38,,,,,,X,X,X,X,X,X
National,X,2002,39,,,,,,X,X,X,X,X,X
National,X,2002,40,2060,176569,754,1.22262328425065,1.16668271327356,582,805,524,X,X,149
National,X,2002,41,2267,186355,785,1.33343810867451,1.21649539856725,683,872,585,X,X,127
National,X,2002,42,2176,192469,831,1.31928966890338,1.13057167647777,642,878,543,X,X,113
National,X,2002,43,2599,207512,863,1.49483509457726,1.25245768919388,728,1045,672,X,X,154
National,X,2002,44,2907,223208,909,1.47194798338554,1.30237267481452,823,1189,741,X,X,154
National,X,2002,45,3225,229454,930,1.58094034274748,1.40551047268734,887,1272,886,X,X,180
National,X,2002,46,3097,223712,923,1.49426399288307,1.38436918895723,851,1173,898,X,X,175
National,X,2002,47,2967,223818,922,1.40568657578992,1.32563064632871,802,1166,817,X,X,182
National,X,2002,48,2709,188814,918,1.61410143362832,1.43474530490324,834,978,711,X,X,186
National,X,2002,49,3049,243078,937,1.45966820630852,1.25432988588025,857,1117,869,X,X,206
National,X,2002,50,2957,235136,928,1.5989593463191,1.25757008709853,804,1179,792,X,X,182
National,X,2002,51,3416,216179,908,2.16696908291202,1.58017198710328,951,1404,849,X,X,212
National,X,2002,52,2857,144287,865,2.57842339410209,1.98008136561159,915,937,828,X,X,177
National,X,2003,1,3260,171193,879,2.38636019217302,1.90428346953439,1028,1019,962,X,X,251
National,X,2003,2,3729,234513,926,1.73621011604537,1.59010374691382,1068,1296,1091,X,X,274
National,X,2003,3,4204,231550,902,2.06296186343516,1.81559058518678,1154,1798,1011,X,X,241
National,X,2003,4,5696,235566,927,2.58113164454626,2.41800599407385,1373,2998,1104,X,X,221
National,X,2003,5,7079,246969,884,2.93909470372336,2.86635164737275,1411,4064,1322,X,X,282
National,X,2003,6,7782,245751,889,3.22538895555254,3.16661987133318,1606,4447,1421,X,X,308
National,X,2003,7,7649,253656,903,3.06981876517271,3.01550130885924,1568,4224,1566,X,X,291
National,X,2003,8,7228,241110,871,3.20043606879946,2.99780183318817,1694,3689,1537,X,X,308
National,X,2003,9,5606,241683,857,2.44888415228182,2.31956736717105,1336,2583,1400,X,X,287
National,X,2003,10,4450,228549,839,2.13439644187,1.94706605585673,1015,2103,1085,X,X,247
National,X,2003,11,3810,220250,835,1.99866199516459,1.72985244040863,880,1669,987,X,X,274
National,X,2003,12,2987,196724,795,1.9384922126962,1.51837091559749,737,1321,773,X,X,156
National,X,2003,13,2439,198913,775,1.412931617186,1.22616420244026,624,1016,640,X,X,159
National,X,2003,14,2028,192349,741,1.23472204047999,1.05433352915794,506,846,541,X,X,135
National,X,2003,15,2082,194383,735,1.20004644305082,1.07108131883961,569,799,551,X,X,163
National,X,2003,16,1467,177577,669,0.910134874667755,0.826120499839506,440,539,382,X,X,106
National,X,2003,17,1445,176111,682,0.932265056781007,0.820505249530126,429,508,394,X,X,114
National,X,2003,18,1075,170406,655,0.692174767592643,0.630846331701935,275,444,272,X,X,84
National,X,2003,19,1005,157191,613,0.669406229595811,0.639349581082886,215,471,245,X,X,74
National,X,2003,20,836,142514,547,0.727705269810998,0.586609034901834,248,283,235,X,X,70
National,X,2003,21,740,95728,406,0.717700898272022,0.773023566772522,264,262,169,X,X,45
National,X,2003,22,641,81063,393,0.78939447962671,0.790743002356192,213,205,179,X,X,44
National,X,2003,23,563,79090,344,0.72212915352851,0.711847262612214,201,195,133,X,X,34
National,X,2003,24,620,78023,341,0.591326044315954,0.79463747869218,198,187,180,X,X,55
National,X,2003,25,423,72110,322,0.523069989732904,0.586603799750381,139,123,127,X,X,34
National,X,2003,26,441,71593,322,0.450236282712373,0.615982009414328,122,124,163,X,X,32
National,X,2003,27,318,64699,310,0.397421124573079,0.491506823907634,109,91,94,X,X,24
National,X,2003,28,441,72972,308,0.448001648298494,0.60434139121855,137,141,120,X,X,43
National,X,2003,29,365,69593,301,0.474767361838914,0.524478036584139,98,98,116,X,X,53
National,X,2003,30,420,71103,302,0.453251360148873,0.59069237584912,112,139,121,X,X,48
National,X,2003,31,361,71466,290,0.352157891381276,0.505135309098033,100,120,102,X,X,39
National,X,2003,32,443,69844,295,0.525321592267576,0.634270660328733,136,125,136,X,X,46
National,X,2003,33,421,69003,283,0.492990868505658,0.610118400649247,120,131,133,X,X,37
National,X,2003,34,450,70178,277,0.542728250368509,0.641226595229274,159,144,120,X,X,27
National,X,2003,35,463,70000,276,0.490346815510614,0.661428571428571,166,155,112,X,X,30
National,X,2003,36,519,65474,271,0.7359136418127,0.79268106423924,177,182,124,X,X,36
National,X,2003,37,475,74328,267,0.581771152720334,0.639059304703476,145,184,122,X,X,24
National,X,2003,38,461,72401,264,0.654161864736963,0.636731536857226,136,183,116,X,X,26
National,X,2003,39,533,71273,268,0.749504068538055,0.747828771063376,135,221,143,X,X,34
National,X,2003,40,2442,254144,830,0.884021204429485,0.960872576177285,808,881,607,X,X,146
National,X,2003,41,2932,281045,931,1.02773045591915,1.04324930171325,913,1132,696,X,X,191
National,X,2003,42,3031,287436,974,1.28296363238177,1.05449560945741,878,1147,811,X,X,195
National,X,2003,43,3475,312412,1007,1.3266053697292,1.11231322740484,1006,1369,884,X,X,216
National,X,2003,44,4690,331980,1074,1.77304009793384,1.4127357069703,1207,2080,1127,X,X,276
National,X,2003,45,5790,335258,1111,2.43813612052152,1.7270281395224,1542,2735,1249,X,X,264
National,X,2003,46,8385,348359,1141,2.72604531913952,2.40699967562199,2185,4133,1757,X,X,310
National,X,2003,47,11141,358275,1129,3.7319220656804,3.10962249668551,2561,5684,2425,X,X,471
National,X,2003,48,11742,272576,1118,4.54893751799399,4.30778938718009,3247,4933,2890,X,X,672
National,X,2003,49,18948,392274,1189,5.39906425638487,4.83029719022928,4734,7817,5330,X,X,1067
National,X,2003,50,24962,388269,1173,7.38735357389034,6.42904790235636,6620,11550,5573,X,X,1219
National,X,2003,51,23699,345097,1148,7.48097137314648,6.867344543708,6434,9851,5906,X,X,1508
National,X,2003,52,16415,232344,1122,7.62796725730726,7.0649554109424,5336,5231,4517,X,X,1331
National,X,2003,53,11332,248992,1139,5.14051498879727,4.55115023775864,3391,2894,3827,X,X,1220
National,X,2004,1,7602,314349,1160,2.89129419229667,2.41833121785022,1930,2299,2605,X,X,768
National,X,2004,2,5583,308614,1141,2.10428983637694,1.80905597283338,1679,1857,1586,X,X,461
National,X,2004,3,4961,289774,1084,1.8869563898866,1.7120238530717,1721,1604,1276,X,X,360
National,X,2004,4,4436,287586,1071,1.77659664241317,1.54249511450488,1487,1543,1067,X,X,339
National,X,2004,5,4251,295646,1054,1.46000622974468,1.43786826136663,1454,1448,1047,X,X,302
National,X,2004,6,3824,288762,986,1.37786947617157,1.32427396956663,1420,1297,889,X,X,218
National,X,2004,7,3691,282347,1004,1.30532339707921,1.30725667352584,1301,1255,876,X,X,259
National,X,2004,8,2916,281202,948,1.08691103879546,1.03697697740414,956,1038,719,X,X,203
National,X,2004,9,2744,271597,894,0.991887735220218,1.01032043800189,925,910,682,X,X,227
National,X,2004,10,2708,257294,897,1.02765319840718,1.05249247942043,878,888,764,X,X,178
National,X,2004,11,2487,243802,849,1.05789602071851,1.0200900730921,730,826,756,X,X,175
National,X,2004,12,2300,248805,859,0.849361020491385,0.924418721488716,760,733,628,X,X,179
